,Year,METALLURGICAL INDUSTRIES,MINING,POWER,PETROLEUM & NATURAL GAS,ELECTRICAL EQUIPMENTS,COMPUTER SOFTWARE & HARDWARE,ELECTRONICS,TELECOMMUNICATIONS,INFORMATION & BROADCASTING,AUTOMOBILE INDUSTRY,SEA TRANSPORT,INDUSTRIAL MACHINERY,MACHINE TOOLS,AGRICULTURAL MACHINERY,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",MEDICAL AND SURGICAL APPLIANCES,INDUSTRIAL INSTRUMENTS,CHEMICALS (OTHER THAN FERTILIZERS),DRUGS & PHARMACEUTICALS,"TEXTILES (INCLUDING DYED,PRINTED)",PAPER AND PULP (INCLUDING PAPER PRODUCTS),FERMENTATION INDUSTRIES,FOOD PROCESSING INDUSTRIES,RUBBER GOODS,LEATHER GOODS,GLASS,CERAMICS,CEMENT AND GYPSUM PRODUCTS,CONSULTANCY SERVICES,SERVICES SECTOR,HOTEL & TOURISM,TRADING,AGRICULTURE SERVICES,"DIAMOND,GOLD ORNAMENTS",TEA AND COFFEE,CONSTRUCTION DEVELOPMENT,MISCELLANEOUS INDUSTRIES,Year.1,GDP
0,2001,22.69,1.32,89.42,9.35,79.76,228.39,8.34,177.69,81.5,195.33,2.41,5.48,1.42,3.64,44.5,12.2,5.42,1.01,111.14,35.94,2.06,60.04,16.02,45.75,0.1,9.75,33.87,4.03,67.72,4.25,71.38,13.2,11.49,17.52,18.83,20.23,24.33,832.07,2001,485.4410145
1,2002,14.14,6.52,757.44,211.07,65.76,419.39,12.47,873.23,4.54,235.76,19.81,32.04,4.31,1.04,61.4,4.87,42.35,5.07,87.23,77.94,5.28,16.7,11.04,219.39,46.39,0.2,8.37,0.78,139.9,66.22,187.95,32.12,43.27,14.06,0.36,0.14,51.75,221.37,2002,514.9379489
2,2003,36.61,10.06,59.11,56.78,34.71,314.24,295.88,191.6,36.5,419.96,29.32,19.4,14.17,13.48,45.07,2.33,21.63,1.31,128.12,40.07,54.18,7.36,8.07,36.88,16.42,0.01,44.98,0.21,21.08,25.7,296.34,33.75,38.13,11.01,1.3,0.0,36.1,218.76,2003,607.6992854
3,2004,8.11,23.48,27.09,80.64,73.2,368.32,82.31,86.49,13.72,119.09,21.95,3.18,54.51,47.54,22.73,10.41,1.97,0.3,20.24,108.91,9.34,7.15,1.7,109.22,6.37,7.55,5.24,1.47,9.58,46.2,271.15,49.36,31.12,0.59,1.96,0.32,47.04,235.48,2004,709.1485148
4,2005,200.38,9.92,43.37,102.78,97.4,527.9,88.1,118.33,9.85,121.97,36.95,8.89,11.04,0.0,12.83,14.13,5.35,1.08,69.39,293.36,43.04,2.7,139.0,43.98,40.06,0.44,8.36,26.79,0.16,252.42,456.15,37.01,14.22,3.83,8.58,0.01,152.06,121.83,2005,820.3815955
5,2006,149.13,7.4,72.69,12.09,39.5,1359.97,40.91,617.98,55.93,139.93,53.63,42.8,23.0,92.71,51.22,25.54,1.52,0.38,387.72,172.44,94.33,27.38,169.83,41.74,34.09,1.11,0.81,5.67,452.08,47.4,548.61,71.78,28.93,9.08,15.52,1.43,228.71,164.76,2006,940.2598888
6,2007,169.94,6.62,157.15,87.71,76.85,2613.33,42.14,476.51,75.7,260.72,72.52,25.96,37.28,25.19,84.44,5.42,13.43,0.0,138.85,224.2,126.9,5.08,27.58,102.0,18.75,8.26,1.43,122.23,242.47,114.68,4713.78,195.66,114.65,12.53,61.97,6.2,1392.95,304.87,2007,1216.735442
7,2008,1175.75,444.36,988.68,1405.04,653.74,1382.25,136.03,1260.7,288.49,656.1,128.36,119.57,56.87,6.72,211.15,9.83,13.17,2.23,233.7,340.35,185.4,31.24,270.05,70.17,15.12,7.46,11.04,115.11,16.89,233.32,6986.17,421.47,345.02,58.13,59.15,18.94,3887.33,528.42,2008,1198.895582
8,2009,959.94,34.16,907.66,349.29,417.35,1543.34,147.51,2548.63,735.04,1150.03,50.21,110.54,45.66,5.57,142.31,12.63,75.42,17.48,651.22,4246.76,157.52,272.51,144.7,102.71,84.88,3.32,23.16,198.43,724.8,256.59,6183.49,463.92,643.64,5.35,83.5,37.08,4657.51,1549.7,2009,1341.886603
9,2010,419.88,174.4,1271.79,265.53,728.27,871.86,52.14,2539.26,490.83,1236.29,284.85,341.88,133.83,1.88,149.59,78.98,167.35,7.61,365.94,213.08,150.27,16.42,112.02,278.89,24.12,5.06,2.83,7.21,33.8,341.31,4174.53,753.02,737.95,1222.22,31.08,8.15,5466.13,1147.56,2010,1675.615336
10,2011,1098.14,79.51,1271.77,556.43,153.9,779.81,59.72,1664.5,412.11,1299.41,300.51,467.92,11.63,0.49,108.67,25.12,32.22,25.48,2354.4,209.38,129.65,6.53,57.71,188.67,17.21,9.26,7.6,12.0,637.68,274.84,3296.09,308.05,498.04,43.9,19.59,3.12,1663.03,1475.97,2011,1823.049928
11,2012,1786.14,142.65,1652.38,2029.98,566.39,796.35,194.41,1997.24,675.96,922.99,129.36,620.66,127.87,2.77,1295.34,29.04,141.61,3.99,4040.71,3232.28,164.19,407.35,69.7,170.21,187.37,8.3,32.22,9.87,267.9,289.89,5215.98,992.86,731.55,49.02,36.3,5.32,3140.78,813.38,2012,1827.63786
12,2013,1466.23,57.89,535.68,214.8,195.87,485.96,38.24,303.87,404.04,1537.28,64.62,503.83,101.39,95.41,89.45,24.33,83.02,0.58,292.16,1123.46,103.89,5.09,107.21,401.46,642.18,46.7,209.16,4.33,12.38,142.32,4832.98,3259.05,717.8,161.47,52.61,0.27,1332.49,229.49,2013,1856.722121
13,2014,567.63,12.73,1066.08,112.23,134.31,1126.27,132.58,1306.95,428.52,1517.28,20.49,477.38,64.52,48.78,288.13,21.13,173.48,0.53,786.76,1279.34,198.86,26.86,814.58,3982.89,370.54,6.14,43.09,150.09,254.01,285.85,2225.1,486.38,1343.39,91.01,42.56,5.86,1226.05,468.74,2014,2039.127446
14,2015,359.34,684.39,707.04,1079.02,574.83,2296.04,96.84,2894.94,254.96,2725.64,333.22,716.79,24.06,72.35,186.69,33.39,145.93,0.85,762.76,1497.74,197.42,116.21,225.38,515.86,284.51,34.21,41.82,35.29,208.99,458.13,4443.26,777.01,2727.96,59.95,280.18,1.43,769.14,765.88,2015,2103.587814
15,2016,456.31,520.67,868.8,103.02,444.88,5904.36,208.39,1324.4,1009.34,2526.82,429.3,568.26,126.38,16.44,274.57,36.68,173.26,7.42,1469.95,754.26,230.13,85.21,202.36,505.88,296.15,17.13,25.78,51.21,19.69,517.47,6889.46,1332.69,3845.32,84.65,58.54,1.12,112.55,668.77,2016,2294.797981
16,2017,1440.18,55.75,1112.98,180.4,2230.69,3651.71,83.97,5563.69,1516.68,1609.32,735.06,329.3,23.89,15.19,245.24,7.44,479.71,0.8,1392.8,857.39,618.95,197.61,110.86,727.22,262.76,2.3,51.69,15.4,2130.1,261.14,8684.07,916.13,2338.4,76.43,123.92,1.6,105.14,296.4,2017,2651.472946
